"Subject","Start Date","Start Time","End Date","End Time","All day event","No End Time","Meeting Organizer","Phone","Email","Categories","Description","Location","Street","City","State or Province","Zip or Postal Code","Country","More Info","Duration (hh:mm:ss)","User Id","Event Id","Repeat Id"
"Piano Recital","13/11/2022","3:00 pm","13/11/2022","4:00 pm","False","False","Christopher Powell","","","Nexus","Experienced piano instructor and GC professor Nina Belle Durr will present a recital of&nbsp;piano music from some of the most well-known composers in music history.

Contact: Christopher Powell
","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","01:00:00","20393","161881240","0"
"AIKCU Diversity Summit","14/11/2022","8:00 am","14/11/2022","5:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Nexus","<p class=""xxxxxxxxxmsonormal"" style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Times New Roman',serif; color: black;"">The Association of Independent Kentucky Colleges and Universities (AIKCU) is hosting its second annual diversity summit that is free and open to our campus and the public. The focus of the summit is to hear perspectives from faculty, staff, and students on private higher education and racial diversity. With a lineup of tremendous speakers, as well as the opportunity for students, faculty, and staff to participate as presenters themselves, the AIKCU Diversity Summit promises to be a thought provoking and engaging experience.</span></p>

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Ensor Learning Resource Center (Library)","Mulberry Street","Georgetown","KY","40324","USA","","09:00:00","105534","161366652","0"
"WAGC Luncheon","15/11/2022","12:30 pm","15/11/2022","2:00 pm","False","False","","","","General","

","Conference Center","100 Crawford Drive","Georgetown","KY","40324","US","","01:30:00","580502","161806020","0"
"National Career Development Day |  Open House","16/11/2022","9:00 am","16/11/2022","4:00 pm","False","False","","","","Calling and Career","

","","","","","","","","07:00:00","588628","160082012","0"
"Men's Recruitment Informational","17/11/2022","11:00 am","17/11/2022","11:45 am","False","False","","","","Nexus","

","","","","","","","","00:45:00","584681","162737863","0"
"Full Time Faculty - Committee Meetings","17/11/2022","11:00 am","17/11/2022","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159459014","0"
"Holiday Open House for Faculty, Staff and Students","17/11/2022","3:00 pm","17/11/2022","5:00 pm","False","False","","","","General","

","President's House","444 East Main Street","","","","","","02:00:00","580502","162853068","0"
"A Taste of Home","17/11/2022","5:00 pm","17/11/2022","7:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Diversity","A Taste of Home<br />Please come and support our international students as they cook their favorite dishes that remind them of home. It's a great opportunity to strengthen our college through conversation, fellowship and food as well as celebrate diversity and inclusion on our college campus.

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Robbi Barber","400 East College Street","Georgetown","KY","40324","","","02:00:00","105534","163170777","0"
"Thanksgiving Holiday - No Classes","21/11/2022","12:00 am","21/11/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077166","4086613"
"Thanksgiving Holiday - No Classes","22/11/2022","12:00 am","22/11/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077167","4086613"
"Thanksgiving Holiday - No Classes","23/11/2022","12:00 am","23/11/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077168","4086613"
"Thanksgiving Holiday - No Classes","24/11/2022","12:00 am","24/11/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077169","4086613"
"Thanksgiving Holiday - No Classes","25/11/2022","12:00 am","25/11/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077170","4086613"
"Financial Literacy Workshop","29/11/2022","11:00 am","29/11/2022","12:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Nexus","

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","JHN Suite","400 East College Street","Georgetown","Kentucky","40324","United States","","01:00:00","105534","159483617","0"
"Notes from the tan couch","29/11/2022","5:00 pm","29/11/2022","7:00 pm","False","False","AaronReynolds","","","Nexus","A showcase of artworks from students in the Georgetown College Art Department.

Contact: AaronReynolds
","Anne Wright Wilson Fine Arts Gallery","Corner of E College and Mulberry streets","Georgetown","KY","40324","US","","02:00:00","20393","163395015","0"
"Band Concert","29/11/2022","7:00 pm","29/11/2022","7:00 pm","False","True","Marlin McKay","","","Academics","

Contact: Marlin McKay
","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","05:00:00","20393","162371922","0"
"Honors 200 Poster Parliament","30/11/2022","4:00 pm","30/11/2022","6:00 pm","False","False","Lisa Hamilton","","","Academics","

Contact: Lisa Hamilton
","Ward Room, Ensor LRC","","","","","","","02:00:00","20393","162788424","0"
"Full Faculty - Division Meetings","1/12/2022","11:00 am","1/12/2022","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159463184","0"
"World AIDS Day - Bingo Event","1/12/2022","11:00 am","1/12/2022","12:00 pm","False","False","","","","Health and Wellness","

","","","","","","","","01:00:00","584681","163446495","0"
"Reception for December 2022 Graduates","1/12/2022","4:00 pm","1/12/2022","6:00 pm","False","False","Jo Anna Fryman","","","Academics","A reception to honor the December 2022 graduates.&nbsp; We'll also take a group picture at about 6:30 just before Hanging of the Green.

Contact: Jo Anna Fryman
","Ward Room, Ensor LRC","","","","","","","02:00:00","20393","162294054","0"
"Tiger Tour Alumni Event - President's Home","1/12/2022","5:00 pm","1/12/2022","6:30 pm","False","False","","","","Alumni","

","","","","","","","","01:30:00","540434","162795897","0"
"'Re(De)Construction' Exhibition Construction","1/12/2022","5:00 pm","1/12/2022","7:00 pm","False","False","Aaron Reynolds","","","Academics","""Re(De)Construction"" is an exhibition featuring the work of three senior art students at Georgetown College - Cameron Cornelius, Sydney Pinkston, and Connor Johnson. The works presented are part of their capstone projects and represent the research, work, and progress they've made as students and artists at Georgetown College.

Contact: Aaron Reynolds
","Cochenour Gallery","Ensor Learning Resource Center, College and Mulber","Georgetown","KY","40324","USA","","02:00:00","20393","163453171","0"
"Hanging of the Green","1/12/2022","7:00 pm","1/12/2022","8:15 pm","False","False","","","","Nexus","

","","","","","","","","01:15:00","584681","158080274","0"
"Christmas at Georgetown Event","3/12/2022","4:00 pm","3/12/2022","6:00 pm","False","False","Leah Stubbs","","","General","

Contact: Leah Stubbs
","Memorial Drive","","","","","","","02:00:00","20393","162432453","0"
"Concert: Traditions, Old and New","4/12/2022","4:00 pm","4/12/2022","4:00 pm","False","True","Christopher Powell","","","Nexus","

Contact: Christopher Powell
","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","08:00:00","20393","161786104","0"
"10-Minute Directing PlayFest","5/12/2022","8:00 pm","5/12/2022","10:00 pm","False","False","Carly Preston","","","Nexus","<p>Students in THE327 Directing course will showcase 8 plays they have directed and&nbsp;produced as final projects. December graduate, Jorie Beil, will also present her senior capstone one-act play called Pillow-Talk written by John Pielmeier, which she has directed and produced. THE327 plays are executive produced by Carly Preston&#894; senior capstone plays are executive produced by Dr. Ed Smith.</p>

Contact: Carly Preston
","Ruth Pearce Wilson Lab Theatre","","","","","","","02:00:00","20393","162592597","0"
"Last Day of Class","6/12/2022","12:00 am","6/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077177","0"
"Finals Throwdown","6/12/2022","8:00 pm","6/12/2022","10:30 pm","False","False","","","","Student Life","

","","","","","","","","02:30:00","584681","163601445","0"
"Reading Day","7/12/2022","12:00 am","7/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077181","0"
"Senior Comprehensive Reports Due","7/12/2022","12:00 am","7/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077192","0"
"Faculty Staff Christmas Luncheon","7/12/2022","11:30 am","7/12/2022","1:30 pm","False","False","Debbie Clark","","","General","

Contact: Debbie Clark
","Conference Center","100 Crawford Drive","Georgetown","KY","40324","US","","02:00:00","20393","162433998","0"
"Final Exams","8/12/2022","12:00 am","8/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077204","4086614"
"Final Exams","9/12/2022","12:00 am","9/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077205","4086614"
"Preview Day","9/12/2022","12:00 am","9/12/2022","11:59 pm","True","False","","","","Admissions","

","","","","","","","","24:00:00","20393","161502237","0"
"Final Exams","12/12/2022","12:00 am","12/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077218","4086616"
"Applications for May 2023 Degree Candidates Due","12/12/2022","12:00 am","12/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077226","0"
"Final Exams","13/12/2022","12:00 am","13/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077219","4086616"
"Grades Due for Fall 2022 @ 11:59 p.m.","16/12/2022","12:00 am","16/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077236","0"
"Inter Term","26/12/2022","12:00 am","26/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077279","4086618"
"Inter Term","27/12/2022","12:00 am","27/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077280","4086618"
"Inter Term","28/12/2022","12:00 am","28/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077281","4086618"
"Inter Term","29/12/2022","12:00 am","29/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077282","4086618"
"Inter Term","30/12/2022","12:00 am","30/12/2022","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077283","4086618"
"Inter Term","2/1/2023","12:00 am","2/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077300","4086620"
"Inter Term","3/1/2023","12:00 am","3/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077301","4086620"
"Inter Term","4/1/2023","12:00 am","4/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077302","4086620"
"Inter Term","5/1/2023","12:00 am","5/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077303","4086620"
"Inter Term","6/1/2023","12:00 am","6/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077304","4086620"
"Mental Health First Aid Training","10/1/2023","8:00 am","10/1/2023","4:00 pm","False","False","","","","Health and Wellness","

","","","","","","","","08:00:00","584681","162919595","0"
"MLK Day Program and March","16/1/2023","3:00 pm","16/1/2023","3:00 pm","False","True","","","","Nexus","

","","","","","","","","09:00:00","20393","163436008","0"
"Drop/Add Period","17/1/2023","12:00 am","17/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077325","4086622"
"First Day of Class","17/1/2023","12:00 am","17/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077317","0"
